iter	Passed	Remaining
700	14521	6194
701	14536	6170
702	14550	6147
703	14562	6122
704	14575	6099
705	14588	6075
706	14602	6051
707	14614	6027
708	14629	6004
709	14642	5980
710	14657	5957
711	14670	5933
712	14682	5910
713	14696	5886
714	14709	5863
715	14721	5839
716	14734	5815
717	14747	5792
718	14761	5769
719	14774	5745
720	14788	5722
721	14804	5700
722	14817	5676
723	14829	5653
724	14849	5632
725	14861	5608
726	14874	5585
727	14889	5563
728	14903	5540
729	14920	5518
730	14933	5495
731	14948	5472
732	14963	5450
733	14978	5428
734	14993	5405
735	15006	5382
736	15018	5359
737	15032	5336
738	15045	5313
739	15057	5290
740	15069	5267
741	15081	5243
742	15104	5224
743	15117	5201
744	15131	5179
745	15144	5156
746	15156	5133
747	15170	5111
748	15184	5088
749	15196	5065
750	15209	5042
751	15223	5020
752	15236	4997
753	15249	4975
754	15262	4952
755	15274	4929
756	15299	4911
757	15315	4889
758	15331	4868
759	15346	4846
760	15360	4824
761	15373	4801
762	15385	4778
763	15399	4757
764	15415	4735
765	15428	4713
766	15441	4690
767	15456	4669
768	15468	4646
769	15481	4624
770	15495	4602
771	15508	4580
772	15521	4558
773	15534	4535
774	15546	4513
775	15560	4491
776	15572	4469
777	15586	4447
778	15599	4425
779	15616	4404
780	15631	4383
781	15646	4361
782	15659	4339
783	15674	4318
784	15687	4296
785	15699	4274
786	15710	4252
787	15723	4230
788	15734	4207
789	15747	4185
790	15760	4164
791	15772	4142
792	15785	4120
793	15799	4099
794	15814	4078
795	15830	4057
796	15842	4035
797	15856	4013
798	15868	3991
799	15881	3970
800	15895	3949
801	15906	3927
802	15919	3905
803	15932	3884
804	15946	3862
805	15960	3841
806	15976	3820
807	15988	3799
808	16001	3777
809	16017	3757
810	16030	3735
811	16043	3714
812	16054	3692
813	16064	3670
814	16079	3649
815	16093	3628
816	16112	3608
817	16124	3587
818	16138	3566
819	16151	3545
820	16165	3524
821	16180	3503
822	16193	3482
823	16206	3461
824	16220	3440
825	16234	3419
